Тег;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
placeName;Туруханский край;#place_turukhansk_region;1;;
placeName;Канский;#place_kansk;1;;
placeName;Ачинску;#place_achinsk;1;;
placeName;Минусинска;#place_minusinsk;1;;
placeName;Березовском;#place_березовском;1;;
placeName;Енисейска;#place_enisei_okrug;1;;
placeName;Малокемчугской;#place_малокемчугской;1;;
placeName;Арестантская;#place_арестантская;1;;
placeName;Канск;#place_kansk;1;;
placeName;Красноярском округе;#place_krasnoyarsk_okrug;1;;
placeName;Казачинском;#place_казачинском;1;;
placeName;Успенского;#place_успенского;1;;
placeName;Могилевской;#place_могилевской;1;;
placeName;Новороссийского;#place_новороссийского;1;;
placeName;Гляденского;#place_гляденского;1;;
placeName;Красноярского;#place_krasnoyarsk;1;;
placeName;Владимирского;#place_владимирского;1;;
placeName;Губернского;#place_губернского;1;;
placeName;Красноярская;#place_krasnoyarsk;1;;
placeName;Дрокинской;#place_дрокинской;1;;
placeName;Мининской;#place_мининской;1;;
placeName;Бугачевской;#place_бугачевской;1;;
placeName;Торгашинской;#place_торгашинской;1;;
placeName;Белоярской;#place_белоярской;1;;
placeName;Таштыпской;#place_таштыпской;1;;
placeName;Саянской;#place_саянской;1;;
placeName;Каратузской;#place_каратузской;1;;
placeName;Суэтукской;#place_суэтукской;1;;
placeName;Бузуновском;#place_бузуновском;1;;
placeName;Алтайском;#place_алтайском;1;;
placeName;Владимирский;#place_владимирский;1;;
placeName;Владимирском;#place_владимирском;1;;
placeName;Шилинском;#place_шилинском;1;;
placeName;Батойском;#place_батойском;1;;
placeName;Еловском;#place_еловском;1;;
placeName;Сухобузимском;#place_сухобузимском;1;;
placeName;Устьянском;#place_устьянском;1;;
placeName;Уринском;#place_уринском;1;;
placeName;Тасеевском;#place_тасеевском;1;;
placeName;Конторском;#place_конторском;1;;
placeName;Ингашевском;#place_ингашевском;1;;
placeName;Анцырском;#place_анцырском;1;;
placeName;Иланском;#place_иланском;1;;
placeName;Анциферовском;#place_анциферовском;1;;
placeName;Минусинского округа;#place_minusinsk_okrug;1;;
placeName;Губернском;#place_губернском;1;;
placeName;Губернский;#place_губернский;1;;
placeName;Губернскому;#place_губернскому;1;;
placeName;Красноярском;#place_krasnoyarsk;1;;
placeName;Казачинской;#place_казачинской;1;;
placeName;Красноярск;;1;;
placeName;Енисейск;;1;;
placeName;Канск;;1;;
placeName;Ачинск;;1;;
placeName;Минусинск;;1;;
placeName;Туруханск;;1;;
placeName;Енисейская губерния;;1;;
placeName;Восточная Сибирь;;1;;
placeName;Туруханский край;;1;;
placeName;Енисейский округ;;1;;
placeName;Красноярский округ;;1;;
placeName;Канский округ;;1;;
placeName;Ачинский округ;;1;;
placeName;Минусинский округ;;1;;
placeName;Троицкое;;1;;
placeName;Гражданского;;1;;
placeName;Кавказского;;1;;
placeName;Сибирского;;1;;
placeName;Императорскому;;1;;
placeName;Гражданский;;1;;
placeName;Кяхтинской;;1;;
placeName;Нижегородской;;1;;
placeName;Ирбитской;;1;;
placeName;Цибульского;;1;;
placeName;Брянском;;1;;
placeName;Березовском;;1;;
placeName;Малокемчугской;;1;;
placeName;Арестантская;;1;;
placeName;Казачинском;;1;;
placeName;Успенского;;1;;
placeName;Могилевской;;1;;
placeName;Новороссийского;;1;;
placeName;Гляденского;;1;;
placeName;Владимирского;;1;;
placeName;Губернского;;1;;
placeName;Дрокинской;;1;;
placeName;Арбатском;;1;;
placeName;Мининской;;1;;
placeName;Бугачевской;;1;;
placeName;Торгашинской;;1;;
placeName;Базайской;;1;;
placeName;Белоярской;;1;;
placeName;Таштыпской;;1;;
placeName;Саянской;;1;;
placeName;Каратузской;;1;;
placeName;Суэтукской;;1;;
placeName;Монокской;;1;;
placeName;Бузуновском;;1;;
placeName;Алтайском;;1;;
placeName;Владимирский;;1;;
placeName;Владимирском;;1;;
placeName;Батойском;;1;;
placeName;Шилинском;;1;;
placeName;Еловском;;1;;
placeName;Сухобузимском;;1;;
placeName;Устьянском;;1;;
placeName;Уринском;;1;;
placeName;Тасеевском;;1;;
placeName;Конторском;;1;;
placeName;Ингашевском;;1;;
placeName;Анцырском;;1;;
placeName;Иланском;;1;;
placeName;Анциферовском;;1;;
placeName;Губернском;;1;;
placeName;Губернскому;;1;;
placeName;Губернский;;1;;
placeName;Казачинской;;1;;
