id;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
placeName;Красноярске;#place_krasnoyarsk;9;Места;Насел. пункты
placeName;Ачинский;#place_achinsk;8;Места;Насел. пункты
placeName;Енисейском;#place_enisei_okrug;8;Места;Насел. пункты
placeName;Минусинском округе;#place_minusinsk_okrug;7;Места;Адм. единицы
placeName;Канский;#place_kansk;7;Места;Насел. пункты
placeName;Красноярском;#place_krasnoyarsk;7;Места;Насел. пункты
placeName;Красноярск;#place_krasnoyarsk;7;Места;Насел. пункты
placeName;Кети;#place_ket_river;7;Места;Насел. пункты
placeName;Енисейск;#place_enisei_okrug;7;Места;Насел. пункты
placeName;Ачинском;#place_achinsk;6;Места;Насел. пункты
placeName;Красноярском округе;#place_krasnoyarsk_okrug;6;Места;Адм. единицы
placeName;Красноярский;#place_krasnoyarsk;6;Места;Насел. пункты
placeName;Канск;#place_kansk;6;Места;Насел. пункты
placeName;Ачинск;#place_achinsk;6;Места;Насел. пункты
placeName;Минусинск;#place_minusinsk;6;Места;Насел. пункты
placeName;Енисейской;#place_enisei_okrug;5;Места;Насел. пункты
placeName;Енисейского;#place_enisei_okrug;5;Места;Насел. пункты
placeName;Восточной Сибири;#place_eastern_siberia;4;Места;Насел. пункты
placeName;Енисейского округа;#place_enisei_okrug;4;Места;Адм. единицы
placeName;Минусинского;#place_minusinsk;4;Места;Насел. пункты
placeName;Ачинского;#place_achinsk;4;Места;Насел. пункты
placeName;Канском округе;#place_kansk_okrug;4;Места;Адм. единицы
placeName;Канском;#place_kansk;4;Места;Насел. пункты
placeName;Минусинском;#place_minusinsk;4;Места;Насел. пункты
placeName;Минусинску;#place_minusinsk;4;Места;Насел. пункты
placeName;г. Енисейске;#place_eniseysk;4;Места;Насел. пункты
placeName;Чулым;#place_chulym_river;4;Места;Географические точки
placeName;Чулыму;#place_chulym_river;4;Места;Географические точки
placeName;р. Енисей;#place_enisey_river;3;Места;Насел. пункты
placeName;Канского;#place_kansk;3;Места;Насел. пункты
placeName;Ачинском округе;#place_achinsk_okrug;3;Места;Адм. единицы
placeName;Красноярску;#place_krasnoyarsk;3;Места;Насел. пункты
placeName;Ачинску;#place_achinsk;3;Места;Насел. пункты
placeName;Канску;#place_kansk;3;Места;Насел. пункты
placeName;Енисейску;#place_enisei_okrug;3;Места;Насел. пункты
placeName;Минусинского округа;#place_minusinsk_okrug;3;Места;Адм. единицы
placeName;Ачинска;#place_achinsk;3;Места;Насел. пункты
placeName;г. Енисейска;#place_eniseysk;3;Места;Насел. пункты
placeName;Чулыма;#place_chulym_river;3;Места;Географические точки
placeName;Анцырской;#place_antsyrskaya_volost;3;Места;Насел. пункты
placeName;Минусинскому округу;#place_minusinsk_okrug;2;Места;Адм. единицы
placeName;Красноярского;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Канский округа;#place_kansk_okrug;2;Места;Адм. единицы
placeName;Ачинскому;#place_achinsk;2;Места;Насел. пункты
placeName;Канскому;#place_kansk;2;Места;Насел. пункты
placeName;Туруханске;#place_turukhansk;2;Места;Насел. пункты
placeName;Енисей;#place_enisey_river;2;Места;Насел. пункты
placeName;Ачинский округ;#place_achinsk_okrug;2;Места;Адм. единицы
placeName;Красноярской;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Енисейском округе;#place_enisei_okrug;2;Места;Адм. единицы
placeName;Туруханск;#place_turukhansk;2;Места;Насел. пункты
placeName;Туруханский край;#place_turukhansk_region;2;Места;Адм. единицы
placeName;Самарскую;#place_самарскую;2;Места;Насел. пункты
placeName;г. Красноярск;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Красноярский округ;#place_krasnoyarsk_okrug;1;Места;Адм. единицы
placeName;Минусинский округ;#place_minusinsk_okrug;1;Места;Адм. единицы
placeName;Енисейская губерния;#place_enisei_province;1;Места;Адм. единицы
placeName;Ачинская;#place_achinsk;1;Места;Насел. пункты
placeName;Минусинская;#place_minusinsk;1;Места;Насел. пункты
placeName;Балахтинской;#place_балахтинской;1;Места;Насел. пункты
placeName;Красноярскому;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Минусинскому;#place_minusinsk;1;Места;Насел. пункты
placeName;Енисейскому;#place_enisei_okrug;1;Места;Насел. пункты
placeName;Красноярскому округу;#place_krasnoyarsk_okrug;1;Места;Адм. единицы
placeName;Канскому округу;#place_kansk_okrug;1;Места;Адм. единицы
placeName;Ачинскому округу;#place_achinsk_okrug;1;Места;Адм. единицы
placeName;Восточную Сибирь;#place_eastern_siberia;1;Места;Адм. единицы
placeName;Рыбинском;#place_rybinskoe;1;Места;Насел. пункты
placeName;Красноярского округа;#place_krasnoyarsk_okrug;1;Места;Адм. единицы
placeName;Яланской;#place_яланской;1;Места;Насел. пункты
placeName;Кеть;#place_ket_river;1;Места;Насел. пункты
placeName;г. Енисейску;#place_eniseysk;1;Места;Насел. пункты
placeName;Новоселовской;#place_новоселовской;1;Места;Насел. пункты
placeName;река Чулым;#place_chulym_river;1;Места;Географические точки
placeName;Новоселовская;#place_новоселовская;1;Места;Насел. пункты
placeName;Енисейска;#place_enisei_okrug;1;Места;Насел. пункты
placeName;Красноярска;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Туруханского края;#place_turukhansk_region;1;Места;Насел. пункты
placeName;Красноярская;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Еловская;#place_еловская;1;Места;Насел. пункты
placeName;Тесинской;#place_tesinskaya_volost;1;Места;Насел. пункты
placeName;Назаровской;#place_назаровской;1;Места;Насел. пункты
placeName;Черноречинской;#place_черноречинской;1;Места;Насел. пункты
placeName;Погорельской;#place_погорельской;1;Места;Насел. пункты
placeName;Частоостровской;#place_частоостровской;1;Места;Насел. пункты
placeName;Казачинской;#place_казачинской;1;Места;Насел. пункты
placeName;Томской губернии;#place_tomsk_province;1;Места;Адм. единицы
placeName;Минусинский округа;#place_minusinsk_okrug;1;Места;Адм. единицы
placeName;Киренского;#place_киренского;1;Места;Насел. пункты
placeName;Иркутской губернии;#place_irkutsk_province;1;Места;Адм. единицы
placeName;Енисейским;#place_enisei_okrug;1;Места;Насел. пункты
placeName;Красноярских;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Красноярские;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Красноярск;;1;Места;Насел. пункты
placeName;Енисейск;;1;Места;Насел. пункты
placeName;Канск;;1;Места;Насел. пункты
placeName;Ачинск;;1;Места;Насел. пункты
placeName;Минусинск;;1;Места;Насел. пункты
placeName;Туруханск;;1;Места;Насел. пункты
placeName;Енисейская губерния;;1;Места;Адм. единицы
placeName;Томская губерния;;1;Места;Адм. единицы
placeName;Иркутская губерния;;1;Места;Адм. единицы
placeName;Восточная Сибирь;;1;Места;Адм. единицы
placeName;Туруханский край;;1;Места;Адм. единицы
placeName;Енисейский округ;;1;Места;Адм. единицы
placeName;Красноярский округ;;1;Места;Адм. единицы
placeName;Канский округ;;1;Места;Адм. единицы
placeName;Ачинский округ;;1;Места;Адм. единицы
placeName;Минусинский округ;;1;Места;Адм. единицы
placeName;Енисей;;1;Места;Насел. пункты
placeName;Чулым;;1;Места;Географические точки
placeName;Кеть;;1;Места;Насел. пункты
placeName;Рыбинское;;1;Места;Насел. пункты
placeName;Тесинская волость;;1;Места;Адм. единицы
placeName;Анцырская волость;;1;Места;Адм. единицы
placeName;Балахтинской;;1;Места;Насел. пункты
placeName;Яланской;;1;Места;Насел. пункты
placeName;Новоселовской;;1;Места;Насел. пункты
placeName;Новоселовская;;1;Места;Насел. пункты
placeName;Еловская;;1;Места;Насел. пункты
placeName;Назаровской;;1;Места;Насел. пункты
placeName;Черноречинской;;1;Места;Насел. пункты
placeName;Погорельской;;1;Места;Насел. пункты
placeName;Частоостровской;;1;Места;Насел. пункты
placeName;Казачинской;;1;Места;Насел. пункты
placeName;Киренского;;1;Места;Насел. пункты
placeName;Самарскую;;1;Места;Насел. пункты
